symbol,name,sector,nse_industry,price,currency,market_cap,trailing_pe,price_to_book,dividend_yield,fifty_two_week_low,fifty_two_week_high,beta,status
TATACAP,Tata Capital Ltd.,Financial Services,Financial Services,359.15,INR,1514425155584,29.681816,3.3227556,,296.0,379.95,,ok
TCS,Tata Consultancy Services Ltd.,Technology,Information Technology,2066.9,INR,7478224355328,15.257252,6.9733467,6.03,1976.8,3399.0,0.241,ok
TATACONSUM,Tata Consumer Products Ltd.,Consumer Defensive,Fast Moving Consumer Goods,1106.8,INR,1095346814976,69.91788,5.387907,0.92,1007.2,1282.7,0.42,ok
TMCV,Tata Motors Ltd.,Consumer Cyclical,Capital Goods,419.9,INR,1546277093376,50.773876,12.142506,0.96,306.3,509.0,,ok
TMPV,Tata Motors Passenger Vehicles Ltd.,Consumer Cyclical,Automobile and Auto Components,335.4,INR,1235138248704,,1.1020714,0.9,294.3,739.7,0.822,ok
TATAPOWER,Tata Power Co. Ltd.,Utilities,Power,380.5,INR,1215826624512,32.46587,3.0798993,0.67,342.5,464.9,0.325,ok
TATASTEEL,Tata Steel Ltd.,Basic Materials,Metals & Mining,190.68,INR,2378131832832,22.069443,2.329855,2.13,152.51,224.4,0.747,ok
TECHM,Tech Mahindra Ltd.,Technology,Information Technology,1446.8,INR,1281696333824,26.764706,4.3267508,3.57,1304.1,1854.0,0.173,ok
TITAN,Titan Company Ltd.,Consumer Cyclical,Consumer Durables,4595.0,INR,4075972984832,80.68481,25.978798,0.33,3303.1,4679.8,0.219,ok
TORNTPHARM,Torrent Pharmaceuticals Ltd.,Healthcare,Healthcare,4877.6,INR,1650801508352,76.511375,19.679485,0.78,3309.4,4948.0,0.142,ok
TRENT,Trent Ltd.,Consumer Cyclical,Consumer Services,2906.5,INR,1549839630336,90.97026,22.189054,0.14,2183.6667,5674.0,0.331,ok
ULTRACEMCO,UltraTech Cement Ltd.,Basic Materials,Construction Materials,11636.0,INR,3422957862912,42.005703,4.7515426,0.68,10325.0,13110.0,0.453,ok
UNIONBANK,Union Bank of India,Financial Services,Financial Services,159.63,INR,1218552528896,6.274764,0.9131316,3.24,124.64,205.49,0.886,ok
UNITDSPR,United Spirits Ltd.,Consumer Defensive,Fast Moving Consumer Goods,1383.6,INR,1006432288768,57.43462,10.972331,1.21,1210.8,1488.0,0.2,ok
VBL,Varun Beverages Ltd.,Consumer Defensive,Fast Moving Consumer Goods,480.1,INR,1623921393664,50.377758,8.293172,0.42,381.0,555.8,0.256,ok
VEDL,Vedanta Ltd.,Basic Materials,Metals & Mining,272.95,INR,1065815703552,15.214604,2.146576,12.49,268.7,795.0,0.276,ok
WIPRO,Wipro Ltd.,Technology,Information Technology,175.49,INR,1735943258112,13.972134,2.076559,9.84,169.0,273.1,0.378,ok
ZYDUSLIFE,Zydus Lifesciences Ltd.,Healthcare,Healthcare,1153.7,INR,1150820155392,23.05095,4.2806363,0.09,835.5,1181.5,0.399,ok
